EmployerID,EmployerName,StreetAddress,City,StateProv,PostalCode,Country,ContactFirstName,ContactLastName,Position,Phone,Website,NAICSCode
10191,Windsor Alpine Tours,14 Longmeadow Road,Laconia,NH,03246,USA,Michael,Engber,Manager,6032669233,TRUE,71392
10194,Pear Tree Inn & Restaurant,30 Richmond Road,Lenox,MA,01240,USA,Rachel,Camara,Manager,4136374745,TRUE,721191
10195,Gables & Golf Country Club,38 Graham's Lane,Cavendish,PE,C0A 1N0,Canada,Spencer,Mewherter,General Manager,9029631555,TRUE,71391
10197,Aidan's of Mystic,390 West Main Road,Mystic,CT,06355,USA,Aidan,Gaughan,Manager,8605721276,FALSE,72232
10198,Trudel Spa & Resort,40 Rue Rivard,North Hatley,QC,J0B 2C0,Canada,Francoise,Boucher,Personnel Manager,8198427783,TRUE,72111
10201,Auberge St-Germaine,50 Rue Bellevue,St-Donat,QC,J0T 2C0,Canada,Jacques,Belanger,Director,8194249003,TRUE,721191
10210,Stonehurst Inn,3 Market Street,Halifax,NS,B3J 3N9,Canada,Gavin,McDonough,Manager,9024848354,FALSE,721191
10217,Harbourview Resort,97 Fenwick Road,Halifax,NS,B3J 3N9,Canada,Louise,Tremblay,Personnel Manager,9024840850,TRUE,72111
10218,Canfield Golf & Country Club,12 Broadway,East Hartford,CT,06108,USA,Celia,Johnson,Personnel Manager,8605697580,TRUE,71391
10220,Hotel du Nord,149 Bonsecours Street,Montreal,QC,H2Y 2X6,Canada,Martine,Normand,General Manager,5148424623,TRUE,72111
10222,Whitney's Resort & Spa,80 Carter Notch Road,Twin Mountain,NH,03595,USA,Matthew,Lim,Director,6038465956,TRUE,72111
10223,The Berkshire House,61 Breaker Street,Lenox,MA,01240,USA,Lubin,Jian,Manager,4136379670,FALSE,721191
10225,Harbor Whale Watch Tours,17 Commercial Street,Boothbay Harbor,ME,04538,USA,Alexander,Benton,Director,2076331290,FALSE,56152
10226,Lighthouse Tours,23 Corn Neck Road,Block Island,RI,02807,USA,Andrew,Adgate,Director,4014663080,TRUE,56152
